Doctor Name,Specialization,Experience,Location,City,Hospital,Consultation Fee,Profile Link
Dr. Reshma Phulwar,Dentist,29 years experience overall,"Chembur,",Mumbai,32 Pearls Dental Clinic,₹500,https://www.practo.com/mumbai/doctor/dr-reshma-phulwar-dentist-1?practice_id=648604&specialization=Doctor&referrer=doctor_listing&page_uid=348f81b4-9277-4292-af1f-0f6000849c1e
Dr. Vaidehi Saigaonkar Newaskar,Dermatologist,15 years experience overall,"Bandra West,",Mumbai,Krasa Skin and Hair Clinic,₹1500,https://www.practo.com/mumbai/doctor/dr-vaidehi-newaskar-dermatologist?practice_id=649514&specialization=Doctor&referrer=doctor_listing&page_uid=348f81b4-9277-4292-af1f-0f6000849c1e
Dr. Suraj Shetty,Dermatologist,16 years experience overall,"Andheri West,",Mumbai,Tvaksh Advanced Skin And Hair Clinic,₹1200,https://www.practo.com/mumbai/doctor/suraj-shetty-dermatologist?practice_id=1196877&specialization=Doctor&referrer=doctor_listing&page_uid=348f81b4-9277-4292-af1f-0f6000849c1e
Dr. Parag M. Khatri,Dentist,32 years experience overall,"Andheri East,",Mumbai,Dental Square,₹500,https://www.practo.com/mumbai/doctor/dr-parag-khatri-dentist?practice_id=830100&specialization=Doctor&referrer=doctor_listing&page_uid=348f81b4-9277-4292-af1f-0f6000849c1e
Dr. Manish Kachhara,Dentist,23 years experience overall,"Ghatkopar East,",Mumbai,Dental Solutions,₹500,https://www.practo.com/mumbai/doctor/dr-manish-kachhara-dentist?practice_id=849770&specialization=Doctor&referrer=doctor_listing&page_uid=348f81b4-9277-4292-af1f-0f6000849c1e
Dr. Sanket Mehta,Dentist,20 years experience overall,"Matunga,",Mumbai,Smile Studio Dental Clinic,₹500,https://www.practo.com/mumbai/doctor/dr-sanket-mehta-dentist?practice_id=687065&specialization=Doctor&referrer=doctor_listing&page_uid=348f81b4-9277-4292-af1f-0f6000849c1e
Dr. Manoj Bodhwani,Dentist,19 years experience overall,"Khar West,",Mumbai,Tooth Avenue,₹500,https://www.practo.com/mumbai/doctor/dr-manoj-bodhwani-dentist?practice_id=694772&specialization=Doctor&referrer=doctor_listing&page_uid=348f81b4-9277-4292-af1f-0f6000849c1e
Dr. Manish S. Sonawane,Dentist,20 years experience overall,"Lokhandwala,",Mumbai,Millennium Smile Dental Clinic,₹500,https://www.practo.com/mumbai/doctor/dr-manish-sonawane-dentist?practice_id=668318&specialization=Doctor&referrer=doctor_listing&page_uid=348f81b4-9277-4292-af1f-0f6000849c1e
Dr. Sonia Tekchandani,Dermatologist,39 years experience overall,"Andheri West,",Mumbai,Tender Skin International,₹1500,https://www.practo.com/mumbai/doctor/dr-sonia-tekchandani-dermatologist-cosmetologist-1?practice_id=1182468&specialization=Doctor&referrer=doctor_listing&page_uid=348f81b4-9277-4292-af1f-0f6000849c1e
Dr. Bhavin Shah,Dentist,16 years experience overall,"Goregaon East,",Mumbai,American Dental Practices,₹500,https://www.practo.com/mumbai/doctor/dr-bhavin-shah-1-dentist?practice_id=648638&specialization=Doctor&referrer=doctor_listing&page_uid=348f81b4-9277-4292-af1f-0f6000849c1e
Dr. Pallavi Rathi,Dermatologist,21 years experience overall,"Andheri East,",Mumbai,My Skin My Health,₹1200,https://www.practo.com/mumbai/doctor/dr-pallavi-rathi-dermatologist-cosmetologist-3?practice_id=849793&specialization=Doctor&referrer=doctor_listing&page_uid=3279119f-905b-4ae0-bfd3-f8f618fa7880
Dr. Ruupali Wanckhede,Dentist,27 years experience overall,"Andheri East,",Mumbai,Smile Edge Oral & Dental Health Care Clinic,₹500,https://www.practo.com/mumbai/doctor/dr-sonal-suradkar-dentist-1?practice_id=686707&specialization=Doctor&referrer=doctor_listing&page_uid=3279119f-905b-4ae0-bfd3-f8f618fa7880
Dr. Kenal D.Shah,Dentist,17 years experience overall,"Mulund West,",Mumbai,Smile Enhancer- A Complete Dental Solution,₹300,https://www.practo.com/mumbai/doctor/dr-kenal-shah-dentist?practice_id=687125&specialization=Doctor&referrer=doctor_listing&page_uid=3279119f-905b-4ae0-bfd3-f8f618fa7880
Dr. Manisha Mehta,Dentist,19 years experience overall,"Worli,",Mumbai,Smile Studio Dental Clinic,₹500,https://www.practo.com/mumbai/doctor/dr-manisha-mehta-dentist?practice_id=648752&specialization=Doctor&referrer=doctor_listing&page_uid=3279119f-905b-4ae0-bfd3-f8f618fa7880
